"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 04-Jan-2024"
"NIFTY TOTAL MARKET","12,849.90","12,852.45","12,508.35","12,823.85","12,535.80","12,556.40","-288.05","-2.25","2,53,44,88,524","80,108.39","13,842.60","6,252.10","-2.56","16.44"
"ITI","473.40","548.50","473.40","457.10","545.60","-","88.50","19.36","8,11,97,635","4,237.70","548.50","210.00","42.31","46.69"
"PTCIL","14,490.00","15,799.00","14,400.00","14,404.30","15,782.00","-","1,377.70","9.56","77,211","117.33","15,730.35","6,748.05","24.17","103.74"
"LINDEINDIA","6,350.00","6,798.90","6,182.15","6,329.20","6,703.55","-","374.35","5.91","2,59,532","168.00","9,935.05","5,325.00","-7.24","13.37"
"EASEMYTRIP","18.25","18.25","16.15","15.51","16.41","-","0.90","5.80","14,67,29,521","244.01","27.00","14.21","-7.46","-62.54"
"JTLIND","101.59","106.00","101.59","99.28","104.50","-","5.22","5.26","84,15,803","87.79","139.00","83.45","-4.90","-59.72"
"EQUITASBNK","66.60","69.95","66.60","66.34","69.29","-","2.95","4.45","1,24,46,540","85.40","116.50","61.35","3.37","-42.09"
"AEGISLOG","807.60","924.60","805.00","811.45","847.15","-","35.70","4.40","2,17,84,398","1,933.08","970.00","330.40","-0.34","-"
"DEVYANI","191.25","209.75","190.13","190.08","197.79","-","7.71","4.06","3,62,30,342","735.08","222.74","142.25","12.50","2.00"
"SAREGAMA","535.00","593.90","532.60","551.10","572.10","-","21.00","3.81","1,13,07,197","649.30","688.90","325.85","6.66","47.49"
"SUNFLAG","305.45","305.45","283.00","290.95","300.40","-","9.45","3.25","7,28,124","21.84","306.00","175.00","-","-"
"AJANTPHARM","2,885.05","2,978.95","2,857.20","2,873.75","2,961.50","-","87.75","3.05","2,02,813","59.71","3,485.00","1,998.35","0.31","28.57"
"CONCORDBIO","2,114.00","2,201.00","2,086.55","2,083.90","2,142.30","-","58.40","2.80","1,71,855","36.67","2,664.00","1,327.05","-4.04","34.45"
