"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 18-Mar-2024"
"NIFTY TOTAL MARKET","11,639.60","11,745.70","11,615.05","11,607.05","11,728.35","-","121.30","1.05","3,04,52,02,461","90,335.13","13,842.60","6,252.10","1.08","5.36"
"GRSE","1,372.00","1,641.35","1,372.00","1,367.80","1,641.35","-","273.55","20.00","79,63,944","1,239.03","2,833.80","744.00","21.50","115.40"
"SINDHUTRAD","16.25","19.18","16.25","15.99","19.18","-","3.19","19.95","1,11,82,446","20.65","31.35","13.00","12.37","-21.80"
"TANLA","451.00","528.90","451.00","442.90","523.00","-","80.10","18.09","2,22,57,563","1,122.92","1,086.45","409.35","-0.80","-38.41"
"IDEAFORGE","342.00","396.00","341.40","336.35","380.00","-","43.65","12.98","21,28,458","80.73","864.40","322.45","-0.76","-45.73"
"HBLENGINE","421.00","496.15","421.00","418.75","471.95","-","53.20","12.70","1,84,55,819","873.99","739.65","405.00","-3.72","-"
"FUSION","138.20","154.99","137.21","136.76","152.69","-","15.93","11.65","16,68,960","24.87","541.85","135.25","-2.54","-66.83"
"MAZDOCK","2,385.00","2,648.00","2,375.00","2,376.50","2,628.00","-","251.50","10.58","1,26,96,711","3,261.29","2,930.00","910.55","21.18","41.99"
"JPPOWER","13.50","15.07","13.50","13.38","14.76","-","1.38","10.31","10,01,86,811","145.37","23.77","12.36","9.58","-"
"TECHNOE","944.95","1,087.45","944.95","930.75","1,016.00","-","85.25","9.16","20,34,257","208.86","1,822.00","607.20","11.44","60.95"
"COCHINSHIP","1,350.00","1,474.95","1,342.35","1,340.90","1,459.80","-","118.90","8.87","41,34,078","594.98","2,979.45","864.25","17.83","66.38"
"RITES","213.00","232.85","212.20","212.03","230.50","-","18.47","8.71","63,24,349","143.08","398.45","192.40","10.57","-63.82"
"STLTECH","81.35","88.76","81.35","80.25","86.97","-","6.72","8.37","94,96,736","80.88","155.05","77.41","-9.76","-28.12"
"MIDHANI","267.99","285.99","267.99","262.47","284.45","-","21.98","8.37","20,97,525","58.77","541.00","226.93","5.98","-22.26"
"KNRCON","219.05","249.80","219.05","217.92","236.00","-","18.08","8.30","58,34,075","138.34","415.40","205.20","-1.35","2.04"
"ARVINDFASN","367.00","399.85","367.00","365.50","393.00","-","27.50","7.52","5,12,826","19.88","639.70","362.60","-0.50","-12.87"
"TEXRAIL","132.50","141.00","132.22","130.80","140.50","-","9.70","7.42","46,48,748","64.10","296.49","122.60","-0.62","-16.11"
"NSLNISP","34.00","36.40","33.99","33.56","35.99","-","2.43","7.24","2,35,32,281","84.39","68.95","33.15","-3.34","-34.01"
"UTKARSHBNK","21.95","23.75","21.95","21.87","23.45","-","1.58","7.22","31,67,622","7.33","61.70","21.25","-16.65","-52.47"
"GRINFRA","1,000.00","1,075.00","982.00","940.65","1,008.00","-","67.35","7.16","63,66,466","663.79","1,860.00","901.00","-0.20","-18.27"
"JSWINFRA","270.25","288.65","270.25","269.15","288.00","-","18.85","7.00","55,72,226","157.15","360.95","218.20","25.73","16.34"
"SCI","148.50","159.19","148.50","147.50","157.80","-","10.30","6.98","57,96,450","90.41","384.20","138.26","2.25","-22.15"
"BEML","2,573.25","2,762.00","2,570.00","2,570.35","2,748.00","-","177.65","6.91","8,57,319","231.55","5,488.00","2,350.00","-0.64","-4.62"
"VENUSPIPES","1,317.85","1,443.90","1,317.75","1,298.35","1,387.70","-","89.35","6.88","1,96,607","27.47","2,450.35","1,170.40","8.90","-17.61"
"AZAD","1,307.00","1,397.00","1,305.70","1,299.30","1,388.00","-","88.70","6.83","4,30,412","58.74","2,080.00","1,170.05","7.18","12.99"
"OLECTRA","1,070.00","1,139.90","1,070.00","1,059.20","1,130.00","-","70.80","6.68","16,48,978","183.94","2,011.75","1,008.30","-3.72","-34.23"
"ASHOKA","177.00","188.79","177.00","175.37","187.00","-","11.63","6.63","40,72,441","74.59","319.00","149.05","-9.82","19.17"
"POLICYBZR","1,454.00","1,561.90","1,451.10","1,454.00","1,549.95","-","95.95","6.60","33,57,370","513.78","2,246.90","1,090.00","-1.16","37.09"
"MAXHEALTH","1,025.15","1,091.45","1,025.00","1,016.95","1,084.00","-","67.05","6.59","27,53,959","295.34","1,227.95","719.45","8.35","48.87"
"NAVA","419.65","456.15","419.10","420.80","448.50","-","27.70","6.58","5,79,562","25.50","673.90","227.75","22.62","-7.90"
"MUTHOOTMF","124.40","133.00","124.39","123.96","132.05","-","8.09","6.53","4,29,439","5.60","257.98","119.25","-7.53","-35.18"
"FORCEMOT","7,460.00","7,998.40","7,421.20","7,463.05","7,950.00","-","486.95","6.52","73,273","56.68","10,277.85","6,125.00","22.13","15.37"
"LUXIND","1,284.65","1,367.95","1,281.30","1,272.20","1,355.05","-","82.85","6.51","1,23,033","16.42","2,493.00","1,071.75","-0.52","20.52"
"IRCON","146.21","157.90","146.19","145.92","155.40","-","9.48","6.50","1,68,38,823","258.27","351.60","134.24","-1.58","-28.25"
"BDL","1,128.00","1,223.05","1,128.00","1,126.80","1,199.00","-","72.20","6.41","32,99,343","393.34","1,794.70","793.50","8.66","-28.56"
"BALRAMCHIN","513.00","560.00","512.95","503.75","536.00","-","32.25","6.40","44,38,308","240.19","691.80","352.00","25.78","49.62"
"HUDCO","189.50","201.66","188.00","188.62","200.62","-","12.00","6.36","1,19,39,748","234.21","353.70","158.85","9.41","11.40"
"ABSLAMC","598.00","639.80","597.00","595.15","633.00","-","37.85","6.36","4,49,480","27.89","911.85","450.25","-3.06","33.37"
"HCC","23.90","25.40","23.78","23.69","25.19","-","1.50","6.33","3,49,05,171","86.53","57.50","21.97","-2.25","-25.56"
"SWSOLAR","229.10","249.95","229.10","227.25","241.40","-","14.15","6.23","77,50,799","187.99","828.00","218.45","-7.46","-50.33"
"PARAS","915.00","963.30","910.15","904.40","960.50","-","56.10","6.20","4,28,589","40.55","1,592.70","610.00","4.49","46.86"
"BAJAJHIND","19.55","20.61","19.55","19.34","20.54","-","1.20","6.20","1,51,15,163","30.67","46.10","17.72","-7.26","-31.26"
"PRAJIND","538.00","567.00","530.00","532.25","565.10","-","32.85","6.17","10,34,983","57.42","875.00","462.00","5.52","18.89"
"PRESTIGE","1,135.00","1,209.00","1,133.00","1,132.50","1,202.00","-","69.50","6.14","12,69,783","150.86","2,074.80","967.30","-2.15","19.46"
"RVNL","334.60","361.95","334.00","333.15","353.55","-","20.40","6.12","2,28,21,539","803.46","647.00","237.50","-1.74","44.70"
"LODHA","1,113.50","1,190.40","1,113.50","1,112.10","1,179.90","-","67.80","6.10","18,90,436","219.07","1,649.95","1,010.00","2.07","8.89"
"MAHLIFE","318.00","348.55","317.80","311.10","330.00","-","18.90","6.08","83,91,058","282.33","678.80","300.00","-8.66","-39.93"
"PARKHOTELS","144.70","153.63","142.55","143.37","152.00","-","8.63","6.02","7,92,533","11.85","211.75","138.00","-5.43","-19.23"
"SPARC","125.60","133.50","125.60","126.01","133.50","-","7.49","5.94","24,81,753","32.15","472.80","109.30","-7.77","-"
"SUNTECK","387.00","412.60","387.00","385.20","408.00","-","22.80","5.92","4,33,878","17.46","699.00","347.70","-3.11","3.99"
"MMTC","51.18","54.99","51.15","50.72","53.70","-","2.98","5.88","26,92,023","14.31","131.80","46.50","-7.08","-18.97"
"TEJASNET","673.50","725.25","673.50","673.20","712.50","-","39.30","5.84","29,38,822","207.34","1,495.00","646.55","-8.95","0.52"
"BSE","4,164.00","4,413.25","4,155.50","4,146.70","4,388.00","-","241.30","5.82","51,70,862","2,233.37","6,133.40","1,941.05","-14.22","115.79"
"TITAGARH","712.00","763.30","711.60","710.50","751.65","-","41.15","5.79","33,43,948","248.46","1,896.95","654.55","-6.47","-11.83"
"CAMS","3,639.95","3,830.00","3,619.10","3,602.20","3,810.00","-","207.80","5.77","10,05,899","378.11","5,367.50","2,811.00","13.05","30.39"
"TRIDENT","24.61","26.19","24.60","24.49","25.90","-","1.41","5.76","1,81,77,488","46.95","42.05","23.90","-6.76","-30.88"
"ESCORTS","3,037.50","3,235.00","3,029.95","3,018.50","3,192.00","-","173.50","5.75","3,90,845","123.84","4,420.00","2,670.55","8.15","18.04"
"JTLIND","77.38","82.72","77.31","77.28","81.70","-","4.42","5.72","27,70,018","22.23","123.75","73.97","-5.74","-55.68"
"IFCI","42.00","44.16","42.00","41.56","43.93","-","2.37","5.70","90,98,293","39.48","91.40","37.25","-1.68","13.60"
"RKFORGE","725.00","777.15","725.00","718.10","758.00","-","39.90","5.56","7,27,517","54.13","1,064.05","604.20","19.82","20.83"
"IRFC","122.50","128.50","122.25","121.80","128.49","-","6.69","5.49","2,86,81,078","361.70","229.00","108.04","5.22","-5.07"
"SYRMA","447.00","486.40","445.25","442.65","466.60","-","23.95","5.41","18,39,603","86.48","647.10","376.35","6.13","-5.52"
"NFL","80.00","84.60","79.96","79.30","83.59","-","4.29","5.41","25,66,697","21.24","169.95","73.70","-2.32","-6.26"
"RENUKA","28.77","30.19","28.75","28.41","29.94","-","1.53","5.39","1,10,14,956","32.73","56.50","25.65","-0.37","-28.91"
"BALMLAWRIE","179.40","191.03","178.47","178.47","187.80","-","9.33","5.23","7,50,060","13.92","320.45","146.60","13.55","-14.30"
"POONAWALLA","309.90","325.00","309.15","306.25","322.25","-","16.00","5.22","30,86,897","98.08","514.00","267.20","12.93","-31.38"
"KALYANKJIL","434.45","465.00","434.00","434.45","456.80","-","22.35","5.14","87,32,320","389.84","795.40","336.05","-7.14","21.56"
"SUZLON","55.39","58.00","55.34","54.98","57.79","-","2.81","5.11","7,94,65,967","452.24","86.04","35.60","12.94","-"
"CONFIPET","48.50","50.89","48.50","48.29","50.76","-","2.47","5.11","6,46,169","3.24","102.00","46.05","-17.55","-42.31"
